抖音用户,粉丝数量,IP属地,用户网址
Neo鹿子背包旅行,24.5万,越南,https://www.douyin.com/user/MS4wLjABAAAAmbtVyOYlsqHg3h5285bwj57YtmfebZ5KkmiEwXa6NMN4-ZCUjJR-ua1SMerhXs3f?from_tab_name=main
Daniel的外贸AIGC,7252,广东,https://www.douyin.com/user/MS4wLjABAAAAdJ4iMnN94qBshR-JLRoDm2WEwteDsbVi8P6dWiiTl36rmaEbiGzv--hoCB4KmyNe?from_tab_name=main
野人哥p,36.0万,广东,https://www.douyin.com/user/MS4wLjABAAAALnByALaxNvzB8EogFlYzJ_trGTHCaMvTZ_RKE7_bJ8PW7kzit2eruYlYbWESKuPT?from_tab_name=main
阿举日记,1183,北京,https://www.douyin.com/user/MS4wLjABAAAAanapheJpYbIHbM0fsfjCoUGSqbkmi9poUw36ijcvG7k?from_tab_name=main
晓.,3.4万,加拿大,https://www.douyin.com/user/MS4wLjABAAAA1YQrWIhrn6LImYmb7nlMH_yO-U4_PUKiX0QH4FgT8Dw?from_tab_name=main
Lorinna,16.2万,,https://www.douyin.com/user/MS4wLjABAAAAYPzXgATJfr93sIwfUHWaaEELE6mSsZ0CwxKCxGFkkxc?from_tab_name=main
CY,1532,美国,https://www.douyin.com/user/MS4wLjABAAAA5n0VwFA9IIQi7PdlXmkKdaDQpFefrq0u3p7KirSOnWpBoYCBvWopv1RQe-_mWiNg?from_tab_name=main
小李环球旅,165.9万,巴基斯坦,https://www.douyin.com/user/MS4wLjABAAAAtMAcyZUpP396fcUarlcXcDc4yToQRgulHng2t0Zs9yg?from_tab_name=main
来点深度,1.6万,广西,https://www.douyin.com/user/MS4wLjABAAAA0kabU4whImWrym9URdeD1TWScptl5pTX2oyryvWFBwk?from_tab_name=main
是小迪吖在,1.2万,韩国,https://www.douyin.com/user/MS4wLjABAAAAWKhTTNZxJg0tdmhX5oy7-Zi3ezs_V-WhKLKoLE7oOMM?from_tab_name=main
彭安琪Angie⁵²⁷原创歌手,30.5万,美国,https://www.douyin.com/user/MS4wLjABAAAAGsRtUycskaI4cKFBq7Ye3StaqU4lkTpmeJP5TnlIOFo?from_tab_name=main
Eroc,6.1万,四川,https://www.douyin.com/user/MS4wLjABAAAAtbtBhnJzb_czJ17ecm90m075i18SHoMFUu7ml12Eka4?from_tab_name=main
毒立思考的撅醒者,3.5万,湖北,https://www.douyin.com/user/MS4wLjABAAAA3RyfbGYzEi5U6Qytup1DVWfiwc0nm_4X8H1Bd8QwdQo?from_tab_name=main
辣妹子小匪,139.2万,四川,https://www.douyin.com/user/MS4wLjABAAAAQ8c5gtZIi-wsHOLT_pW0a048NzzVG1ocHjYyhi8vVIA?from_tab_name=main
Gloria_syt,7.3万,英国,https://www.douyin.com/user/MS4wLjABAAAAOc92bpoFwvwf2-8R0wzFaTUanUncqDAfo1-EZdV0nDM?from_tab_name=main
燥哥躁世界,61.9万,北京,https://www.douyin.com/user/MS4wLjABAAAAySWUAI_1U4_BwW0zEh2hENiOB14oXBtQF9NMGnsnkWk?from_tab_name=main
阿优莎在尼泊尔,22.2万,辽宁,https://www.douyin.com/user/MS4wLjABAAAAKRoHldXQOlhs4Wyzkx3wwEqrkeGLFjURqYvypmAiPdT4l3WnITDPvynRxuVx6cdT?from_tab_name=main
丹麦老杨哥,2.9万,丹麦,https://www.douyin.com/user/MS4wLjABAAAAQQZgG9PXHU1NeDs0_23hdbfSjFjMUDGiGJ9SSQGh4nL7y5IfBGvqBE5qUeMGvaW2?from_tab_name=main
Lisa一家在美国,6.1万,,https://www.douyin.com/user/MS4wLjABAAAAK_xP7qAEmIDYR38-Zn7Bp4ZlRZJm3guKg07VHTqjO9bpV9NITPKuOvN5WtWcJNSQ?from_tab_name=main
杉妮Sunny,145.4万,美国,https://www.douyin.com/user/MS4wLjABAAAAJBcXYJz-TYtsXUOXe3W7jan7fqwnrrEh9tmzbE-JMuZL3Rt2SXE5CJvH9s7MAFnw?from_tab_name=main
月兰,11.5万,俄罗斯,https://www.douyin.com/user/MS4wLjABAAAAUnyZd_k_xoN5TknV4fDKru0S-XiBY7vwHshwm52STxE?from_tab_name=main
美国移民Wina,553,北京,https://www.douyin.com/user/MS4wLjABAAAAuWXTVSN3K5PE534bJv7SgEtaq6MhKApdXJJWACvxEKtCLlJwLNn-jgQQnZCDRaiq?from_tab_name=main
乌克兰小阿飞,36.7万,,https://www.douyin.com/user/MS4wLjABAAAA479yiPrTKsRHvdL4Rv7ulOCJHi47p1saE3PuJK_Yg6A?from_tab_name=main
小葵在流浪,94.5万,四川,https://www.douyin.com/user/MS4wLjABAAAAylKDCkrzhgEQuV2cRUCqYY5V2angOoC51zS6nR5D5hg?from_tab_name=main
masonasodesu,46.9万,美国,https://www.douyin.com/user/MS4wLjABAAAA0jdnwLrpOA8g5CGIUKAeLx8inPF-rLtrXsl7L8lik7JGiNXjWBHmJgZoC_zbiKry?from_tab_name=main
小凡越南说,1.6万,山东,https://www.douyin.com/user/MS4wLjABAAAA6u4yqtznitedA9kw5H7nNrFC3mHvCSsAziT9pTMfeoqIatFzbkbgTqlRfD-_7ZCw?from_tab_name=main
打开小灯,2.5万,河南,https://www.douyin.com/user/MS4wLjABAAAA-KJmFsb7ingfhoK0QrIvNTWbUwu1cZZ9295Y2D0Q_h2pPLq-gtWLDrGr_REWyd7T?from_tab_name=main
老哈家混血3宝店,48.0万,美国,https://www.douyin.com/user/MS4wLjABAAAA_VTG5e_2mgZ4kvP8sFrjAj5001nW0C3EQACyw-xhTQa9NYtC5XIJQ-fi6Jo1QnQg?from_tab_name=main
西雅图凯文,21.8万,安徽,https://www.douyin.com/user/MS4wLjABAAAA80P8fXrNgTuB3385yXxNUbzNEcDHALzpHp67wHN40kAYA5eb13Q3eBHhY5XjRWRb?from_tab_name=main
法国苏菲日常,13.7万,法国,https://www.douyin.com/user/MS4wLjABAAAAdRf8MCxOCS6bKrN6eW57LF1IKOOx-nDBj7oDjK0qgE4?from_tab_name=main
清婳看中国,1.0万,广东,https://www.douyin.com/user/MS4wLjABAAAAFlmF7cet3IQXiZZv-IdrKVxcgFEVZNTbgkOiSLAjEgpPFqg4u5DmALHPWb8zHy-v?from_tab_name=main
鹅国宇哥,163.6万,俄罗斯,https://www.douyin.com/user/MS4wLjABAAAA2g824uD3FT0i2pX8IMT4R4L30i7jnbyV95dMx-CsKvI?from_tab_name=main
南安人在海外(闽南语频道),6.1万,福建,https://www.douyin.com/user/MS4wLjABAAAA1s1c-eek4zoArgNpgeFkQ-zqS85BRMvFgyPKKmDZ5tA?from_tab_name=main
土豆在纽约,2.6万,美国,https://www.douyin.com/user/MS4wLjABAAAAgpwBkVvj8e_jyy5F41Kli1vGaGaU290bAYbVeSDU-cc?from_tab_name=main
yourEva,23.3万,浙江,https://www.douyin.com/user/MS4wLjABAAAAOEYnwbFzf34bXJOZl1ub5tZyW6QiuMOX4HrNaOr1MrY?from_tab_name=main
Kevin海外趣闻,4758,广东,https://www.douyin.com/user/MS4wLjABAAAAbw90JR3aV5UIbGdYNqOz1HUhflSFdj3mnFkTopuLuyU?from_tab_name=main
鱼十七Justin,20.8万,陕西,https://www.douyin.com/user/MS4wLjABAAAA0MXXMUA998ZxmA3jVfR5Fearut3eFr7_wCpAnvOu4ZJRGnHbnRTk7TagrZicGtx4?from_tab_name=main
喝着咖啡看世界,1105,,https://www.douyin.com/user/MS4wLjABAAAA6OUyvGS4ymgWEwyQekI8jDmJZjZ8IEBzM_TtenKux_A?from_tab_name=main
林深在越南创业,1.4万,越南,https://www.douyin.com/user/MS4wLjABAAAAq4tlVtn6QBIYPuECWRGII_t2jlmWFTfenhGmJETwqRXO2MgTzWLg5whWsaOAKzQO?from_tab_name=main
老冯在瑞士,54.3万,瑞士,https://www.douyin.com/user/MS4wLjABAAAAAlleB6CVOiwrHbTjQIATYq2lv2Inzv6yEJemPYWL2lWTgWkrhfUuUQJykDMxv5Wa?from_tab_name=main
蛋黄派了没,45.3万,浙江,https://www.douyin.com/user/MS4wLjABAAAAy2F7DWRdTg-pPiSfEI6yFDdm8fbig177nb3IoK_7WT5YSCaDIoA2OtqD7OPfBFpT?from_tab_name=main
蓝战菲环游世界,4163,山东,https://www.douyin.com/user/MS4wLjABAAAAUbNoIORygFUZURqbRt-ZCx04VzB6MfsxiXqfueul-6OD42EQa0BiLtQc4L9aknVX?from_tab_name=main
兔子叨叨叨,3054,北京,https://www.douyin.com/user/MS4wLjABAAAAGFZcXAMvtxleVuVdEo8VPoQ9GKp2GMUhABYLBNtMLv4?from_tab_name=main
FeiCon,2.0万,瑞士,https://www.douyin.com/user/MS4wLjABAAAABhsfMpFqXHEOIZ16pvy2EcHAj3yBmWskpWulb866-KN9UWjxqSBl660UYgl0OvCm?from_tab_name=main
油管精选字幕,3.4万,重庆,https://www.douyin.com/user/MS4wLjABAAAAdv-R52269bQliOHzJJkEeJ-ueYe112p4_5L4Vrd7iy1tIgDt3X6nb395xOARspww?from_tab_name=main
A-world-for-7｛柒｝,318,,https://www.douyin.com/user/MS4wLjABAAAA3AAsUFKH3byFytNkYZo1kHgMWOfxc2zenQC4e005HdY?from_tab_name=main
摇钱速AI-王簸箕,3.3万,福建,https://www.douyin.com/user/MS4wLjABAAAAhNnP7LF5-AdG74cHDrpsTLr7t-nXqTPbZycA5yJ2pO7nhx9owrz2eiQtnRmV-uGn?from_tab_name=main
海外吃瓜台,2.2万,广东,https://www.douyin.com/user/MS4wLjABAAAABspfLBbq6_l_l_z_U2C7aNyynDU7pCeIdC9Ga7MgYEwpfFnNh7Kr1mmDkBllTqRs?from_tab_name=main
热血中华,3834,安徽,https://www.douyin.com/user/MS4wLjABAAAATQtWaMx3M5zXJo3d3QP5ViM1mkLXATyMSGFEjNJ66oQ?from_tab_name=main
芽米的食养日记,150.2万,江苏,https://www.douyin.com/user/MS4wLjABAAAA6yacrCFowxZcpE2BrWDTa8aEHB5OlQ33XDomQRQnTvs?from_tab_name=main
Navina Heyden海雯娜,32.6万,山东,https://www.douyin.com/user/MS4wLjABAAAAplL8bY-RntDwim6cf11__tRIxc05U__YQ7JCt_-o3Jg?from_tab_name=main
老王和比利时女友,37.7万,安徽,https://www.douyin.com/user/MS4wLjABAAAAEhYF0t5GwpdCtr3EvGh0Jy4nYGo_-vn-PlVgI1F7JrY?from_tab_name=main
小曾小曾,3.5万,尼日利亚,https://www.douyin.com/user/MS4wLjABAAAAqusqdyLbvzIU0oPUxR8d-vP7QQtC3VSKpid_rDzugvohaqc-nBrNobsiCZ-YwvXj?from_tab_name=main
东京帅哥来世,5.4万,日本,https://www.douyin.com/user/MS4wLjABAAAA4cdiyeOjdTGujc0po-W_eASdZ3HAzr7kUJeeE_iBhcOjbhfO1VHY7-sMzfQEuoB7?from_tab_name=main
Tokkis,3.1万,,https://www.douyin.com/user/MS4wLjABAAAAqhjIgG1ckP0G2gIZjUUd_Atnqto0n2YGsDQWRAHQ09UM24m_YMXq9pJ6QOammcRT?from_tab_name=main
胡纳泰爱中国,32.8万,山东,https://www.douyin.com/user/MS4wLjABAAAAfYQsXAC-COmrJm_LQCeQj-AXCkZrHIk81fg4QlEs6JQ?from_tab_name=main
锋哥在美国洛杉矶,2.4万,美国,https://www.douyin.com/user/MS4wLjABAAAAujUTvIri-1zoGPPWJDCSgWyXGRYBfr0oBj5QroduHEs?from_tab_name=main
柬埔寨小6,111.9万,柬埔寨,https://www.douyin.com/user/MS4wLjABAAAAn0nPPEBQtISPlT49UgY-2MxKbZOLK6oIcmiGHkpUt6Q?from_tab_name=main
深邃的海洋,8543,江苏,https://www.douyin.com/user/MS4wLjABAAAA6EJUee5GGhB_gUk7ttpxwLRD2wMLmSiUJjPJV2E1jtc?from_tab_name=main
小黄远嫁美国,560.2万,美国,https://www.douyin.com/user/MS4wLjABAAAAIhR9DshFw4uFz492ZmfiUwuVcgZ4fc15RE3XuLfcpco?from_tab_name=main
温温学姐（留学版）,2115,北京,https://www.douyin.com/user/MS4wLjABAAAAY__gWQ7OJVnVotSpfTukhm3AMaNEWDc9_kVpnKRyews?from_tab_name=main
六线谱,5159,辽宁,https://www.douyin.com/user/MS4wLjABAAAABjO2H1h1KrVNGsKbVqdHZihFgp7VH_ypJYcjQguaa-ZC1jLh9tnRdDD0cRM_NUK8?from_tab_name=main
罐头瓶子世界行,13.6万,广东,https://www.douyin.com/user/MS4wLjABAAAAIsJ64RYg3EkOQVAJKLfcQMBUSZbfTVFnVGJOIDefJWgPh1CaLgGJhd1WfOqn_adv?from_tab_name=main
运输大队（阿威）,6780,浙江,https://www.douyin.com/user/MS4wLjABAAAAs9M-AHXRVvw7fQoShoaKxBVqZauvoXbOQufzyjzWmes?from_tab_name=main
儒雅扑克,865,山东,https://www.douyin.com/user/MS4wLjABAAAAdFE_8jEqXoKHJNvyOOhsWh2Vnq0fWGRycpoT_slonZinfLF2lkEiysbmrWode5lz?from_tab_name=main
勇敢向前走hhh,4298,浙江,https://www.douyin.com/user/MS4wLjABAAAA4-2kQS_SmyMFtXI0B0T7efPIdeRjvTxvc-e6sgmjVrI?from_tab_name=main
兮妹的日常生活,1.1万,,https://www.douyin.com/user/MS4wLjABAAAA0AV03cGOugSvhWUQ1c5rFZh4H_e3TyIwh0Y9ZouljYOazNzw_R5edBJWo0jOZ53U?from_tab_name=main
达达世奈的日本生活,8.4万,日本,https://www.douyin.com/user/MS4wLjABAAAAq7nI3P_AGQ9WQDVZ7hkcJ4xFWTdWE7MXRlwei1K3l_Y-wPc8fhI4cTrLb4BozuQ3?from_tab_name=main
李湫川,3.4万,北京,https://www.douyin.com/user/MS4wLjABAAAAUqH_ULXErRHp0CFIZzwD_JxzjgPlfriQJftIrgmCkzpR1L6hHq0I8qZtdts9ZYVV?from_tab_name=main
张叔儿近来可好？,9615,意大利,https://www.douyin.com/user/MS4wLjABAAAA1P7d52a6AwVmSdXP4gvT5bp2tNgwELnLnoiw9VoeyMJiRsIoR6JEkFnI2sd6Rdqf?from_tab_name=main
安吉和阿鹏,9.4万,西班牙,https://www.douyin.com/user/MS4wLjABAAAAf4Z4zaBeBW4SHAo4MC5Z5unSAD_zq6DeGycZVQV-rrI?from_tab_name=main
喵‍,582,河南,https://www.douyin.com/user/MS4wLjABAAAA0qdJ0fXde-HTsFz19HF6DazTgNxmr1vo9hiGnVZD9iStt__Z4kuAubI6jvzcNXFC?from_tab_name=main
美国平民窟的夏娃,14.7万,美国,https://www.douyin.com/user/MS4wLjABAAAArhHOujoJIKmZqVRxw7CI0RuomHSraFWTg_HxHrhHdYFAE8VviMMo5ApL2FrG24Nb?from_tab_name=main
偶去看看,7292,广东,https://www.douyin.com/user/MS4wLjABAAAAOt9p0kadfsEDny2Hrj4IU49fxJc9aL7pX_rq-W1JhmjAG_bFqS612pm0jL2MfWAx?from_tab_name=main
虽则如荼,4584,黑龙江,https://www.douyin.com/user/MS4wLjABAAAAtLb1QqRNlGhjg1Cj4o3iBxapBZOqFZW7T3PFUpyvtKY?from_tab_name=main
,,,https://www.douyin.com/user/MS4wLjABAAAAb_M9eJGDeglVViFETNa3bxKzPXVRXLiP6hA4rglNHyI9lcpEnIuNdYv9OtYJQz97?from_tab_name=main
大小姐Nini在美国,,美国,https://www.douyin.com/user/MS4wLjABAAAAHRUVbiRnCB3m1hu1YXfuPixkv_xE_GpaSH7JdX2KVcg?from_tab_name=main
子文又饿了,24.8万,美国,https://www.douyin.com/user/MS4wLjABAAAAKYhq_bNZ_-tiKf_fMV2AgnvTSde4XkUWtCOffPAxHH6EDxRLxeyC0-BXPIyorDEn?from_tab_name=main
朱彤在美国,4697,美国,https://www.douyin.com/user/MS4wLjABAAAArAyQlOMSvHgC6RpW6kS5lJnvSUF2m_fVSTMw6lvxnWA?from_tab_name=main
复兴华夏,1004,山东,https://www.douyin.com/user/MS4wLjABAAAAQT_3s5FKxwgySAIKZloo6hBWLen7uC3FYTo3ThSQk_KyKP7wWtYCYEikhVwNMiIf?from_tab_name=main
Bowen在美国,22.3万,美国,https://www.douyin.com/user/MS4wLjABAAAA17PXOF5ZEqr-UmDvN-XiX7bAIYvmex4LFB2rIKG27to?from_tab_name=main
沭阳人在美国,1.2万,美国,https://www.douyin.com/user/MS4wLjABAAAAk2iQmz2uVsd3s2r4ph0ndmgbPVsGY_CH8UxynupEtaM?from_tab_name=main
妮妮在北美可城,2.3万,加拿大,https://www.douyin.com/user/MS4wLjABAAAAZzgqnqmtYKtt7_KmLDxa2Q2XKRcQPObf00wYTtrs9ZVvlJNiH-mhl22S3d-ZRVHD?from_tab_name=main
miss 咪,1004,美国,https://www.douyin.com/user/MS4wLjABAAAAY467liwCHHl16fXADT9jVEdVNmAxWAWAJznJiEj4C5o?from_tab_name=main
TPT-Zaiy96,268,北京,https://www.douyin.com/user/MS4wLjABAAAABq0ojFOkaEX2bFFxwACw1A-fpge6YiHPs_1fbNDrKtUmW8GMPiM7MdUiy0viiC_i?from_tab_name=main
沈老师,2.2万,上海,https://www.douyin.com/user/MS4wLjABAAAA_l1zfkzTf_So5X-HRtjW485_gssyVyfR21382cHZ2cM?from_tab_name=main
河南A妈在美国（三胎宝妈）,27.9万,美国,https://www.douyin.com/user/MS4wLjABAAAAT8IXEPa9PfUpi6NUXAGTch6X_9KU0a6x-bhgYh_sGY4?from_tab_name=main
Bobo在美国,255.5万,美国,https://www.douyin.com/user/MS4wLjABAAAAy6LCnnaFwMrsiiz0-CqaV-Uf2IlRVUOcYbZq8r9CChlZKTNz3rwPT4s0g_7p3nle?from_tab_name=main
华姐在纽约,9744,美国,https://www.douyin.com/user/MS4wLjABAAAAAgRRyD4GHkP2kdzjJuNI5OWCL-3_ZGRK7yFtvXUeOw0?from_tab_name=main
留学毕业Appeal,558,广东,https://www.douyin.com/user/MS4wLjABAAAAcjTyqm-5RYyUxoZiE6Rade_zepG5LA04JwGvwUsYdI8?from_tab_name=main
肇庆人在美国,7814,美国,https://www.douyin.com/user/MS4wLjABAAAAafT4qNsRo8t7lR9GPFUfkkw57hK7B6EWazwUyMMKoBo?from_tab_name=main
最美中国人,25,江西,https://www.douyin.com/user/MS4wLjABAAAAr0nlhQ7ZHNmCK23cxL3YDaW3tRiDtZXpai0wFQmK1WDFKhsjyZzzZTnubLS06y_u?from_tab_name=main
全都爱雨青,10.0万,美国,https://www.douyin.com/user/MS4wLjABAAAATMmKexJcVZkcTvhwOdjpusWDTIA7evkJgZh-92z6Z6o?from_tab_name=main
王骁Albert,199.3万,上海,https://www.douyin.com/user/MS4wLjABAAAA4V7RV4ZnM7bMi-xQRY-BrABWwk7VkAwVHheUkGlgWos?from_tab_name=main
瑞瑞美国花旗参,1.3万,广东,https://www.douyin.com/user/MS4wLjABAAAAz6zQna7VVzxT_YEQGmFz_mjnAZ2H_OXPRFktEgEqaWQ?from_tab_name=main
混过社会卖过萌.,1488,北京,https://www.douyin.com/user/MS4wLjABAAAAf-Q70iJsqX19PhWcz827TG9z9oy0s3twbeQmvjJAOCRkKtxW-aOcF0BK2Aq5sC8L?from_tab_name=main
Kelly在加拿大,4789,加拿大,https://www.douyin.com/user/MS4wLjABAAAA7TdrYq8qp-BdYntVQocJIvWNvTQUl6cqEz2YNd-Izzc?from_tab_name=main
混的洋羊,106,安徽,https://www.douyin.com/user/MS4wLjABAAAA1m2CbkgDAJ22s_4HP2ei6F09mb65689mwQxDoDzzt3THfEK6eDRB54wTD8e-uFZ9?from_tab_name=main
青青,4576,广东,https://www.douyin.com/user/MS4wLjABAAAAjLfsQTWwZeB0JUg0hKsfmVKEeqBC6JtJ2F7eii9quYQ?from_tab_name=main
眼角的泪,12,广西,https://www.douyin.com/user/MS4wLjABAAAAwKCUvEG-HHh2sTUJltP8D6YZPkcwWjkqK_C8ERG9suQcH5c09GuJTfzkVTUWF42v?from_tab_name=main
骆的辛酸,858,江苏,https://www.douyin.com/user/MS4wLjABAAAA2scB2Z_1TpkzFx5p1_bGiWu_cSrwuBtesJCKQ6S0KKRwAL91viz-N283rlYvWzZz?from_tab_name=main
开 心,343,黑龙江,https://www.douyin.com/user/MS4wLjABAAAApJqDFyASLsECEy1jb6BxgB6t0gSdQR8brN8PlptqgTKNiTT-qsRZZ6eQN9XqcGk1?from_tab_name=main
再见温哥华,2029,广西,https://www.douyin.com/user/MS4wLjABAAAA_peZmwH333c9Q7TWI4uVpNnGGaKzhzW8rdYRxfLhRdM?from_tab_name=main
行走的大…大大羊腿,257.9万,加拿大,https://www.douyin.com/user/MS4wLjABAAAAzFTjZYroPTv4raXwJHeTaq3cui7BtVE_W-8mBaGAMe0?from_tab_name=main
云姐¹⁰¹⁰国外生活,6.9万,美国,https://www.douyin.com/user/MS4wLjABAAAAOiqMaOasbu4D4JoI27rZFSlFsb5Q4kTUW9H9O2-hPcV6cKEmr7MTmD7-hgUnJbw-?from_tab_name=main
Xxx,36,四川,https://www.douyin.com/user/MS4wLjABAAAAELowrgvhqftOSquC3dgil70qY2wM-YOCVWqU9poI9sYsbAn0-6bV9QSwjugRWegC?from_tab_name=main
加拿大Andy劉,2.7万,山东,https://www.douyin.com/user/MS4wLjABAAAAD0Kfg8wr1vuMVKlGGRYNYWR4UbSUYFBwAy1NQbJXu1M?from_tab_name=main
橙姐在加拿大,1084,加拿大,https://www.douyin.com/user/MS4wLjABAAAAXkbyQ1_RylobXkiouYUUrhy5lw6BAkRdVg56bnyq0SjcxY9n_hFqqhTip7xvUWRQ?from_tab_name=main
顺诺城小助理铭铭,5052,广东,https://www.douyin.com/user/MS4wLjABAAAAf4zOQlGoef6hYVv34y2seAtnPF-ML_o1-PCkQmt0-e62JadHSho6MGaUp9swz6Ql?from_tab_name=main
贾贾的加拿大,1854,安徽,https://www.douyin.com/user/MS4wLjABAAAA0wbxLBzxE1G8Nm9Ui4eFMDoPEgZYsPdMJ_ZgfzY9J8qwX4QzD4xzgMSC7xVRbOJq?from_tab_name=main
凤姐闯加村,1242,加拿大,https://www.douyin.com/user/MS4wLjABAAAAQPbXq3IWNkHo5zrGIN9f1wd5nWDgvuaIzobkfJg03ODHUWUuDocvBsBBEHBJWnNQ?from_tab_name=main
Tromsø,1026,加拿大,https://www.douyin.com/user/MS4wLjABAAAAWBiLcXnKHxddYllzm0rsXdkXTQvA2rNkwRhocEnfh3W1u3LcIAXpauWGgAb8StTb?from_tab_name=main
可爱的rina,219,,https://www.douyin.com/user/MS4wLjABAAAA9VN3LR63yy3XlMVYCML8Z1iysYpYpA9_NQXI6xbZNaJYt1T6x-FssmztHKn8RQaW?from_tab_name=main
Chloe,629,加拿大,https://www.douyin.com/user/MS4wLjABAAAAPjPorTu9MTFz9U2NHnqSeqGUZsaSN1MerrND14T2fBEx5HVxT07RBwSyQ2_JcRG-?from_tab_name=main
大头哥在加拿大,1302,加拿大,https://www.douyin.com/user/MS4wLjABAAAAdBIWTh8TMNQZ1Q5qLhw46WGfQnvYwhwvcux4eCc_JImexNHSdpjIdh9YHxGcZGtr?from_tab_name=main
璐的加国养娃记,1.9万,加拿大,https://www.douyin.com/user/MS4wLjABAAAA8kbKT_DGdPxJFyoDjWYgEI5mZi8HCSEjWio1rc4-H4s?from_tab_name=main
Nnng,172,浙江,https://www.douyin.com/user/MS4wLjABAAAAaI34J6ftD54AFuqUO56u2lFbwcIcJNHFWLJdZLLj3mOiEQsHxp78ZQwK0CVlMAEZ?from_tab_name=main
加拿大超大件一手大庄小九,9,广东,https://www.douyin.com/user/MS4wLjABAAAA3VB6ihdvZVoiXvVekmxHSwpQIjIyx8vJGu2E4sbxuCCk35eO0W-Tle38JESDvSfo?from_tab_name=main
洗牙姐说点移民真话,3916,,https://www.douyin.com/user/MS4wLjABAAAAayqsl1OlncH38XpTnINLgGPthoZ4YV6hX62ubv6SSbY?from_tab_name=main
Betty老师在加拿大,3152,加拿大,https://www.douyin.com/user/MS4wLjABAAAADdEeWRxlbnAmLz0qnf0nHPg58dGE5C9MOiGp0XgFQM8?from_tab_name=main
@1021,883,广东,https://www.douyin.com/user/MS4wLjABAAAA52YVeJYyHolXTihLS2lz5KnoCZ39Lpde6aoxIk5gcgE?from_tab_name=main
梦里,11,,https://www.douyin.com/user/MS4wLjABAAAAPq8GBAsAsdo00BYgKuZPfmBJ4SQLaZ89WRKTStQqo9TOlPdiHgNUDyYO4uWzd_17?from_tab_name=main
Dr.Ter Borcht,4.0万,加拿大,https://www.douyin.com/user/MS4wLjABAAAAPJEEfiNN5d0kanWxx_t1UjJ6kFi_VDZTA3acQKSTtVw?from_tab_name=main
Zhaosasa,2.0万,美国,https://www.douyin.com/user/MS4wLjABAAAAaRSVkpUt7KmgVmcYrk58-5gTm1NxseskO_6McoO5DcQ?from_tab_name=main
小洛在枫叶国,751,加拿大,https://www.douyin.com/user/MS4wLjABAAAApcq3DHq7eYYg4MZeYfAk6rt-BsF3DB62O8u4IRXYu_89ARLWJQTgEtZYHtmiiG_w?from_tab_name=main
良哥说加拿大,550,,https://www.douyin.com/user/MS4wLjABAAAAsBBs1nGTuwn-KfcVRIm3XTmZwq_q8F3-nwmOzXk0fbc?from_tab_name=main
大道至简,1380,河南,https://www.douyin.com/user/MS4wLjABAAAAIBlatbiihmpcpMUGimX2lI16DpztFt3K_tjtBC_DALs?from_tab_name=main
阿泽在新加坡,40.9万,新加坡,https://www.douyin.com/user/MS4wLjABAAAAAn4uHtUW1QdTqCNE99KFYmtvssuEiX2d0vUm14tFxkk?from_tab_name=main
史济荣,1.5万,浙江,https://www.douyin.com/user/MS4wLjABAAAA0o1aJ8jDNY6vjWDFTAQO-XWzhldm0JIXFUGE4lQULfY?from_tab_name=main
Van小哈,2716,加拿大,https://www.douyin.com/user/MS4wLjABAAAAT2PpLcOsr4lVMVvRalbUzFoL09vzUbbR0sC_IpxXFXy3CnnVNlr5rmk7nO5rE2IE?from_tab_name=main
财多多,97.5万,湖南,https://www.douyin.com/user/MS4wLjABAAAA2uP-CNUkJ1nAS8MeCasvl1D7SsFXpQonjUQXjA-58nw?from_tab_name=main
凯玥tion,7016,加拿大,https://www.douyin.com/user/MS4wLjABAAAArfOqYwa4v3Y048Pyd_NOuZGt-cpQOqEqy_zr5CPoCbU?from_tab_name=main
海沫在加拿大,9959,加拿大,https://www.douyin.com/user/MS4wLjABAAAA3qg5HdF-WeQjvIeomPZ4t7eWlfY7xEhdKlSZVAD6ri4W-QAgGPhfB45OUl5Gu6Yf?from_tab_name=main
XXiYan,4058,,https://www.douyin.com/user/MS4wLjABAAAAub4z5Xw7hwSsulhP7B14kQxlDJl_d2Z4IE66G5OIK-E?from_tab_name=main
爱美的小陈同学,2.2万,加拿大,https://www.douyin.com/user/MS4wLjABAAAAfzbJYqw_g7dswwe_eTKzFyUzL8LIKHbsWG7a7hiiBkrlQqCEZ6ElLiQO8S8OBVTu?from_tab_name=main
仨少爷与我,40,,https://www.douyin.com/user/MS4wLjABAAAA_O9Dd1DOQjDpWI6ZMTzzkmPEe_r3Tn41sbOL4YvgePM?from_tab_name=main
李巴巴在加拿大,4.6万,加拿大,https://www.douyin.com/user/MS4wLjABAAAAqc-9sBvMW0pvKhI8YYWZFKXyfiZ0hrZk71GpgWItx7Y?from_tab_name=main
加拿大重启的失业夫妇（准备中）,1.3万,江苏,https://www.douyin.com/user/MS4wLjABAAAAz6kzwqwiCFvQLm5wovmaykWa_Hbt7wnThFU8xlMEzMQ?from_tab_name=main
木子妈在加拿大（绯逊）,951,加拿大,https://www.douyin.com/user/MS4wLjABAAAABF_mjbnMddJBwqwsoP7f8TLpKF6eF-GhjRe2jKwxvf98rat26dCA0nzZzppzgj2O?from_tab_name=main
